"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"3653";"18374";"25151";"28727";"34924";"31556";"35284";"35178";"31431";"29969";"21947";"29540";"29832";"26435";"27975";"26679";"25487";"26991";"26865";"28662";"27351";"28680";"31423";"29664";"23837";"22393";"19734";"8326";"736068"
"12 Acre";"0";"8720";"4182";"11092";"9760";"13532";"13711";"15264";"16027";"15243";"11331";"13708";"13783";"15798";"15523";"16389";"15368";"16246";"15921";"14968";"9806";"11344";"10981";"10697";"10501";"11236";"8050";"3242";"332423"
"13 Amazonas";"5962";"12244";"43060";"49059";"73245";"65102";"71500";"77150";"71658";"68771";"52434";"65464";"69629";"71818";"65673";"71456";"67145";"67978";"70818";"69525";"71543";"72957";"61220";"56772";"53354";"57833";"46257";"18428";"1648055"
"14 Roraima";"277";"2355";"3375";"3791";"8258";"7343";"13767";"8862";"9340";"9766";"6918";"9229";"8708";"9196";"9272";"9690";"8744";"8971";"8081";"7939";"9209";"10117";"9764";"10750";"8073";"8189";"5912";"1951";"217847"
"15 Pará";"9102";"19657";"28105";"43164";"121460";"142359";"134865";"155593";"150886";"160781";"132571";"150184";"148125";"161916";"151303";"153993";"143762";"136890";"135488";"127845";"97027";"80230";"85356";"84605";"86784";"86810";"67852";"26821";"3023534"
"16 Amapá";"0";"4";"482";"1219";"11313";"11967";"13213";"26017";"14052";"14452";"10412";"12762";"12636";"12690";"12943";"12657";"11777";"11543";"12086";"12478";"10578";"12045";"14844";"9975";"10169";"10316";"5684";"2297";"290611"
"17 Tocantins";"0";"0";"7036";"15790";"23597";"28365";"28489";"28425";"29620";"28205";"21895";"26348";"26207";"25674";"24139";"24999";"23189";"23263";"23382";"23339";"21140";"20074";"19269";"18276";"19351";"19066";"17701";"7956";"574795"
"21 Maranhão";"60517";"62785";"16598";"23730";"99987";"102066";"132887";"131913";"140656";"140949";"116225";"133273";"136384";"145279";"128550";"127142";"129301";"125465";"124337";"120385";"102635";"100111";"80169";"76951";"79874";"75416";"57897";"23484";"2794966"
"22 Piauí";"4";"111";"780";"411";"762";"7221";"41847";"35956";"48455";"51128";"51339";"53773";"55193";"55190";"51816";"50995";"47857";"47334";"49675";"45316";"36683";"34417";"34309";"33465";"36149";"35635";"30279";"12885";"948985"
"23 Ceará";"0";"0";"0";"0";"1048";"24029";"46403";"8398";"1225";"269";"118";"107";"421";"199";"236";"197";"217";"146";"117";"260";"292";"439";"548";"1737";"1287";"894";"11004";"10176";"109767"
"24 Rio Grande do Norte";"0";"1";"0";"273";"275";"733";"2068";"1462";"939";"1054";"626";"703";"454";"292";"125";"183";"66";"39";"55";"59";"143";"171";"140";"164";"283";"230";"1064";"1167";"12769"
"25 Paraíba";"0";"0";"0";"0";"82";"1142";"203";"274";"70";"200";"207";"166";"206";"260";"308";"222";"191";"247";"283";"333";"280";"208";"222";"348";"483";"523";"7412";"10243";"24113"
"26 Pernambuco";"0";"3";"1";"102";"279";"677";"14716";"12759";"12656";"13001";"13120";"1837";"484";"511";"709";"593";"407";"533";"460";"590";"482";"669";"688";"1025";"1351";"1400";"37053";"26875";"142981"
"27 Alagoas";"0";"0";"0";"76";"7";"1029";"921";"181";"99";"18";"31";"43";"76";"131";"121";"153";"149";"150";"159";"190";"210";"252";"230";"543";"1405";"1364";"4200";"9124";"20862"
"28 Sergipe";"0";"0";"0";"0";"6";"1";"4130";"1346";"109";"159";"0";"5";"14";"17";"31";"27";"26";"39";"20";"22";"35";"117";"115";"141";"357";"381";"227";"207";"7532"
"29 Bahia";"0";"0";"5";"67";"2130";"94016";"203099";"233506";"233170";"239620";"232752";"236845";"228304";"223006";"210214";"218770";"205140";"200814";"198934";"198330";"179914";"169155";"141520";"148445";"137577";"135599";"124609";"47953";"4243494"
"31 Minas Gerais";"0";"0";"0";"921";"47022";"184467";"153817";"266468";"221342";"66125";"239803";"281407";"272782";"266681";"252026";"260595";"241446";"251089";"246886";"259636";"218756";"235287";"229374";"218017";"238745";"223669";"209341";"82535";"5168237"
"32 Espírito Santo";"0";"13";"0";"1254";"18";"32";"26845";"12498";"2272";"3188";"14189";"18147";"18729";"18336";"17389";"5523";"529";"339";"411";"298";"232";"205";"222";"34998";"39456";"39588";"36113";"15975";"306799"
"33 Rio de Janeiro";"0";"0";"186";"136";"58";"578";"13717";"4087";"882";"1099";"741";"768";"490";"690";"1621";"950";"765";"717";"849";"2298";"2255";"1132";"516";"61751";"107912";"123248";"89297";"42125";"458868"
"35 São Paulo";"0";"0";"0";"0";"31646";"74613";"58721";"46493";"54184";"61521";"62848";"65079";"69378";"70366";"80821";"102804";"114673";"122354";"122398";"124820";"120629";"120323";"115491";"150295";"361189";"442314";"421835";"164764";"3159559"
"41 Paraná";"0";"134";"41";"488";"53";"364";"569";"425";"822";"269";"236";"348";"64933";"113732";"110906";"116398";"106851";"115591";"114698";"124954";"116017";"119911";"108059";"111503";"117776";"131182";"119789";"45130";"1741179"
"42 Santa Catarina";"123";"1";"10";"25";"202";"167";"529";"2839";"4244";"7201";"8167";"7859";"7643";"7525";"7566";"8933";"19999";"24134";"24696";"25219";"25399";"24261";"25436";"25830";"56835";"83024";"75958";"29512";"503337"
"43 Rio Grande do Sul";"0";"0";"0";"31";"867";"310";"590";"3150";"5355";"6780";"7290";"7604";"6936";"7034";"8176";"40103";"39181";"46560";"65709";"84765";"76460";"77969";"86644";"78791";"82927";"90203";"85043";"33127";"941605"
"50 Mato Grosso do Sul";"0";"0";"15588";"21259";"29430";"37094";"44439";"43818";"43021";"41717";"30510";"38894";"39201";"38979";"37001";"40473";"37683";"39824";"39584";"45132";"48747";"45976";"41293";"37910";"38241";"39772";"29723";"12790";"958099"
"51 Mato Grosso";"3916";"10839";"10767";"14977";"36088";"39957";"59351";"55370";"54293";"54141";"41702";"52434";"52213";"52181";"51175";"50167";"45349";"46493";"47337";"51033";"55642";"50317";"50347";"46351";"45297";"43480";"40449";"16816";"1178482"
