"Unidade da Federação";"2 meses";"3 meses";"4 meses";"5 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"12 anos";"1 a 2 anos";"1 a 4 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 anos e mais";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"24704";"1608";"21795";"1334";"426453";"83811";"3240";"1952";"45452";"893";"1237";"230259";"526";"2178";"9354";"2502";"252";"704";"2033";"9689";"64";"1";"4";"3889";"19515";"1803";"481";"5164";"792";"12318";"61806";"1534";"1";"3742";"73999";"3976";"2890";"2587";"500";"701";"9707";"31046";"20397";"22886";"16081";"10208";"5606";"2651";"1025";"1225";"26679";"5954";"37112";"5377";"0";"62896";"1324593"
"12 Acre";"13415";"1462";"10215";"1360";"272962";"58987";"14838";"11121";"27318";"771";"1395";"127720";"623";"2619";"15770";"998";"992";"3899";"14875";"18554";"405";"3";"25";"2170";"11558";"4286";"967";"2615";"1212";"7227";"31268";"1675";"0";"2566";"40128";"2573";"1313";"712";"445";"218";"5325";"14501";"8843";"9261";"6568";"4627";"3118";"1587";"764";"1370";"18072";"5521";"21626";"5686";"0";"32395";"850524"
"13 Amazonas";"58833";"7632";"42431";"6745";"1171830";"244537";"50816";"26781";"104975";"5800";"9307";"561921";"5089";"20355";"52864";"5147";"2959";"7796";"39";"35185";"237";"10";"402";"19078";"40232";"13041";"6100";"23454";"7026";"33937";"100331";"10057";"1";"17926";"105263";"16732";"11041";"7591";"2910";"2248";"19977";"67597";"44913";"45545";"27295";"18955";"12056";"6029";"2990";"4902";"90826";"19669";"76007";"18329";"302";"108814";"3402865"
"14 Roraima";"8408";"622";"6739";"553";"153020";"33559";"4228";"1982";"16231";"1373";"2765";"79419";"1769";"5584";"4149";"1173";"513";"901";"0";"5533";"11";"3";"35";"4306";"7983";"3484";"1518";"4831";"1950";"7664";"19754";"3413";"0";"4676";"35682";"3666";"2407";"1883";"1329";"912";"3987";"7007";"9584";"4555";"3212";"2140";"1364";"657";"289";"572";"8906";"2597";"13611";"2165";"0";"15329";"510003"
"15 Pará";"110336";"15418";"83552";"16189";"2336734";"499019";"83413";"48119";"210320";"23216";"3073";"1262582";"1448";"4324";"84284";"9576";"4560";"10956";"12921";"49360";"2209";"29";"301";"14545";"54624";"21216";"28503";"20713";"26861";"51783";"139067";"34813";"3";"51463";"166419";"46554";"29591";"27947";"3393";"2349";"31564";"167997";"80811";"123847";"78604";"52905";"32692";"16924";"8371";"11905";"160547";"41509";"112973";"31198";"142";"165068";"6708840"
"16 Amapá";"12685";"1357";"9962";"1247";"242608";"49059";"9082";"5384";"22449";"321";"533";"125166";"103";"1054";"7216";"574";"252";"682";"0";"4932";"93";"1";"4";"1399";"4516";"1383";"409";"1849";"652";"3013";"14063";"1201";"0";"1482";"21319";"1284";"841";"548";"314";"262";"2126";"11363";"5810";"9665";"3187";"2460";"2121";"847";"740";"840";"18310";"2356";"9954";"1790";"0";"14329";"635197"
"17 Tocantins";"23163";"1277";"20281";"1643";"387782";"76450";"3077";"1232";"47938";"3922";"1180";"203082";"399";"2356";"6331";"1587";"381";"900";"0";"17438";"18";"4";"7";"2819";"19062";"2823";"5139";"3178";"5094";"7876";"45363";"7786";"1";"8657";"32257";"7294";"5430";"4158";"2028";"1330";"9176";"28707";"25294";"22653";"16809";"12114";"7503";"3490";"1851";"1758";"22178";"5274";"29984";"4596";"0";"37083";"1189213"
"21 Maranhão";"105829";"18728";"79070";"17631";"2099989";"460559";"73379";"41035";"183229";"8772";"1564";"1068707";"888";"2738";"74788";"7127";"2852";"7921";"12111";"52049";"1106";"21";"190";"9945";"46909";"28313";"6486";"12616";"6931";"54461";"104387";"9798";"5";"12998";"110749";"10813";"6227";"4428";"1156";"867";"31159";"151641";"66329";"111175";"80226";"56470";"36658";"19267";"10083";"13861";"163650";"29686";"103601";"24520";"0";"125558";"5771256"
"22 Piauí";"47607";"2959";"42499";"3285";"797223";"153899";"5048";"2967";"70087";"930";"128";"436686";"243";"202";"21732";"2656";"425";"1798";"11237";"11955";"43";"23";"69";"3029";"6213";"15892";"1046";"3520";"1690";"25501";"22287";"3901";"3";"6100";"54443";"4229";"2328";"1395";"535";"330";"12089";"78875";"29992";"61801";"46689";"33433";"22450";"11418";"5891";"2351";"60437";"8221";"39026";"6827";"0";"51607";"2237250"
"23 Ceará";"122382";"5559";"113898";"5621";"1935846";"411063";"14586";"10523";"234239";"3386";"61";"1170429";"25";"91";"41268";"6721";"606";"4940";"4832";"30124";"941";"2";"91";"8115";"1837";"92867";"4087";"10936";"5818";"82078";"18113";"11773";"1";"20447";"134108";"18538";"12125";"8186";"3294";"2764";"26563";"225106";"46138";"159756";"121751";"84953";"68405";"27596";"15664";"7308";"146897";"26583";"88143";"23353";"0";"122017";"5742554"
