"Unidade da Federação";"2 meses";"3 meses";"4 meses";"5 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"12 anos";"1 a 2 anos";"1 a 4 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 anos e mais";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"24171";"1776";"20669";"1428";"405610";"101113";"3041";"1711";"41431";"6";"410";"339";"222947";"3136";"746";"9759";"3175";"319";"590";"1628";"7337";"18";"2";"11";"2982";"22360";"1184";"235";"3663";"295";"11771";"71185";"855";"0";"1735";"61457";"1653";"1167";"1035";"225";"105";"9805";"31386";"14821";"21031";"14258";"9461";"5701";"2629";"1084";"1164";"25070";"5665";"36037";"5491";"0";"68648";"1285531"
"12 Acre";"12321";"1825";"9446";"1806";"242184";"59696";"11957";"8380";"24798";"10";"701";"460";"126575";"315";"809";"13100";"675";"669";"3427";"11912";"17781";"421";"5";"27";"1143";"11568";"4019";"628";"1317";"736";"7629";"26836";"975";"2";"1063";"34073";"642";"389";"260";"135";"177";"4223";"13475";"7784";"8084";"5962";"3952";"3028";"1371";"572";"1486";"17120";"5225";"15988";"4648";"0";"26527";"760337"
"13 Amazonas";"52604";"8778";"36728";"7652";"1055113";"274855";"49364";"24972";"104792";"3";"3958";"1483";"558331";"3149";"2779";"52396";"4967";"2579";"5673";"38";"31257";"167";"9";"23";"6587";"43607";"8877";"4127";"9627";"4922";"33732";"111539";"9264";"5";"11469";"71319";"10341";"8161";"5543";"2423";"1584";"20797";"57892";"37029";"38529";"25294";"16634";"10184";"5072";"2637";"6360";"83244";"20059";"81487";"17585";"0";"122063";"3169663"
"14 Roraima";"7820";"836";"6235";"671";"145150";"39686";"4437";"2237";"15085";"25";"725";"285";"79154";"2532";"438";"3567";"1510";"444";"1090";"0";"4375";"91";"0";"11";"1447";"7590";"3347";"1000";"1457";"1142";"8772";"16741";"2394";"0";"2813";"31480";"2334";"1449";"1115";"662";"515";"2990";"5907";"6417";"3909";"2673";"1731";"894";"442";"222";"383";"8472";"2171";"13320";"1810";"0";"15044";"467047"
"15 Pará";"103170";"14728";"78999";"16398";"2025523";"493838";"75772";"44586";"213549";"8";"3388";"2321";"1201594";"918";"2553";"80268";"8902";"3113";"10452";"6227";"46267";"1278";"27";"168";"12459";"53974";"20216";"3334";"16492";"3526";"55011";"133698";"5429";"1";"8828";"144875";"7947";"6202";"4532";"1656";"1191";"26779";"144844";"39866";"104088";"67550";"45405";"28839";"15485";"7606";"10904";"153809";"34611";"104035";"26908";"0";"172929";"5897076"
"16 Amapá";"11912";"1641";"9021";"1491";"205940";"50179";"5990";"2994";"19170";"1";"317";"7";"116506";"472";"8";"5492";"418";"211";"612";"1";"3856";"46";"1";"3";"737";"5709";"7773";"396";"730";"533";"8635";"18304";"834";"2";"1086";"26234";"775";"496";"282";"216";"174";"2589";"10652";"3641";"5243";"3263";"2983";"1768";"725";"373";"1027";"17796";"2513";"10042";"2458";"0";"15600";"589878"
"17 Tocantins";"21718";"1393";"18998";"1826";"380585";"97631";"2432";"908";"44586";"3";"3370";"84";"194967";"1754";"216";"5518";"1439";"343";"674";"252";"12267";"10";"7";"5";"1669";"21590";"2126";"4580";"2175";"4216";"9190";"68721";"6687";"2";"8767";"42186";"7748";"6015";"4225";"1629";"1091";"11277";"26549";"22739";"21726";"15852";"11006";"7564";"2659";"1320";"1373";"21890";"5187";"39646";"4313";"0";"50725";"1227429"
"21 Maranhão";"97125";"16614";"75097";"14895";"1787120";"453161";"59685";"33838";"194384";"7";"11979";"1334";"1035920";"751";"1031";"77179";"6474";"3371";"9229";"4056";"68207";"840";"20";"96";"8289";"77191";"47802";"7734";"10654";"6523";"88810";"169484";"8086";"15";"9320";"153923";"8049";"4944";"3249";"1323";"1076";"38524";"272135";"56459";"193633";"148422";"99310";"64257";"34667";"18065";"13703";"160682";"39516";"135854";"31739";"0";"168672";"6034523"
"22 Piauí";"43375";"3134";"37602";"3249";"683860";"172311";"3461";"2020";"67933";"0";"796";"294";"429406";"138";"284";"19939";"2322";"409";"1125";"9205";"11432";"55";"28";"44";"2803";"20700";"12686";"897";"3104";"1083";"28808";"44828";"2487";"10";"2646";"60881";"2012";"1146";"615";"374";"296";"11679";"71231";"21135";"55521";"42537";"29546";"18791";"9405";"4367";"2112";"57678";"7616";"35017";"6255";"0";"54483";"2105171"
"23 Ceará";"117599";"6989";"108010";"7100";"1861974";"572965";"15039";"8485";"228386";"15";"4434";"23";"1147197";"29578";"47";"39943";"6557";"455";"4437";"5340";"30071";"661";"1";"43";"7563";"1289";"62247";"5579";"9969";"7161";"69120";"13302";"11828";"0";"19279";"143586";"16665";"11462";"7500";"2157";"1284";"26541";"207633";"36741";"152089";"116370";"78686";"61571";"30032";"14925";"7324";"142353";"25804";"89276";"22328";"0";"132662";"5729675"
