"Unidade da Federação";"2 meses";"3 meses";"4 meses";"5 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"12 anos";"1 a 2 anos";"1 a 4 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"25314";"1668";"21606";"1462";"449137";"127191";"5079";"3498";"45107";"0";"454";"1088";"2622";"724";"803";"12549";"2391";"313";"772";"7434";"21";"1";"47";"3263";"21317";"1282";"343";"4060";"445";"11646";"56369";"1325";"1";"28512";"24149";"19185";"1196";"6967";"980";"315";"2427";"473";"8834";"17076";"1152";"25684";"5351";"30379";"4275";"0";"60002";"1046289"
"12 Acre";"13647";"1824";"10182";"2004";"263610";"77922";"15186";"11720";"33719";"10";"786";"878";"1540";"913";"1659";"21454";"1165";"968";"2812";"14393";"341";"5";"166";"1502";"23105";"4388";"924";"2186";"1103";"8634";"54674";"1246";"3";"15066";"12789";"7517";"848";"8175";"588";"275";"5096";"132";"9389";"15110";"1333";"18656";"5411";"19993";"4948";"0";"28641";"728636"
"13 Amazonas";"58414";"10055";"39868";"8634";"1149494";"349907";"42914";"20356";"102136";"1";"4125";"3901";"8698";"4094";"5708";"54024";"4434";"2293";"4127";"26389";"95";"2";"179";"7176";"47013";"6529";"4443";"9758";"5225";"27891";"111367";"8846";"1";"55234";"34208";"23288";"8942";"8286";"6273";"2672";"4084";"1642";"20951";"28354";"6122";"82660";"17763";"79666";"14348";"273";"115361";"2638224"
"14 Roraima";"8190";"913";"6247";"779";"152802";"46496";"4534";"2557";"18369";"1";"945";"454";"2483";"2289";"491";"3999";"1545";"339";"827";"4301";"16";"1";"19";"1556";"7384";"3017";"1417";"1879";"1641";"8012";"15183";"2839";"0";"11028";"13926";"5912";"1957";"3138";"1332";"753";"1904";"561";"3903";"5586";"449";"8320";"2396";"12340";"1816";"0";"13176";"390022"
"15 Pará";"111211";"16929";"84225";"17769";"2187278";"659443";"79634";"48114";"240611";"32";"4891";"4751";"10454";"11508";"3742";"113594";"10129";"2800";"8635";"50601";"963";"20";"107";"14157";"61060";"21407";"4678";"17654";"4531";"59500";"153982";"6374";"6";"64153";"120083";"25994";"6117";"9355";"4579";"2091";"3943";"1461";"34139";"78016";"11217";"160608";"37760";"118307";"29657";"0";"198840";"4917110"
"16 Amapá";"11684";"1587";"8117";"1620";"217644";"61317";"7299";"3711";"20245";"0";"228";"1964";"759";"1323";"1808";"6924";"839";"168";"575";"3015";"27";"0";"4";"2480";"4175";"2771";"310";"2769";"647";"4851";"16866";"1125";"0";"13183";"8578";"4383";"566";"3061";"350";"246";"1907";"252";"3848";"3823";"833";"17374";"1587";"8766";"2161";"104";"17852";"475726"
"17 Tocantins";"22865";"1500";"19552";"1950";"408166";"103703";"2752";"1095";"43336";"18";"2796";"2019";"1416";"2356";"2608";"6810";"1593";"335";"617";"9307";"15";"39";"89";"2418";"20005";"2238";"4050";"3907";"4064";"8642";"35863";"6030";"5";"19322";"23119";"11777";"4146";"7869";"2948";"1641";"2119";"1304";"9775";"22459";"1415";"21099";"4793";"26685";"3777";"0";"29462";"915869"
"21 Maranhão";"102063";"18245";"77521";"18662";"1932026";"601803";"58903";"35431";"229914";"11";"10371";"3546";"9456";"7185";"2215";"99429";"7434";"2875";"7955";"62806";"414";"38";"125";"9641";"77094";"52257";"7765";"12537";"6732";"111352";"142384";"8093";"24";"128581";"79017";"43358";"6060";"19063";"3277";"1794";"6539";"1638";"39531";"61012";"14751";"162098";"38881";"122152";"32234";"0";"151352";"4627645"
"22 Piauí";"46040";"3461";"39483";"3871";"839706";"234359";"3028";"1478";"79033";"0";"1320";"416";"2202";"1907";"290";"28367";"2413";"383";"1352";"11927";"41";"19";"92";"2514";"21947";"20928";"1846";"3179";"2081";"39418";"41065";"2935";"2";"49090";"25584";"21593";"1897";"14214";"1149";"552";"6591";"519";"15827";"24385";"2402";"57226";"9011";"37074";"7797";"0";"51114";"1763128"
"23 Ceará";"117674";"7082";"108467";"7728";"1936497";"572534";"26288";"22680";"254771";"68";"6327";"503";"5800";"2766";"299";"81136";"7214";"609";"9740";"32299";"338";"21";"50";"9575";"1808";"105475";"7634";"12776";"9100";"157440";"16080";"14558";"12";"202064";"84421";"57017";"13441";"28866";"8891";"2917";"14195";"1719";"41610";"51512";"7667";"147911";"27878";"110352";"22889";"0";"152569";"4511268"
"24 Rio Grande do Norte";"45122";"4661";"35447";"4918";"743720";"215142";"10577";"5239";"67245";"11";"603";"214";"1190";"2405";"194";"33464";"1677";"178";"1430";"10979";"42";"0";"113";"1644";"393";"17250";"346";"1950";"312";"40162";"9280";"527";"0";"55704";"22081";"15605";"767";"11492";"461";"387";"5524";"168";"19066";"26002";"2796";"56470";"7694";"45278";"7242";"0";"72750";"1605922"
"25 Paraíba";"52593";"6740";"43426";"7214";"914634";"268566";"13954";"7467";"84060";"42";"1063";"944";"2141";"10972";"416";"28437";"2048";"137";"1781";"9588";"144";"7";"21";"2608";"356";"9373";"864";"4726";"1403";"37097";"6113";"2737";"0";"49790";"56889";"18801";"2517";"9719";"1724";"1075";"4116";"1022";"16024";"23147";"4162";"71317";"6930";"43101";"6566";"51";"70290";"1908913"
"26 Pernambuco";"133403";"13418";"113412";"13877";"2319900";"683368";"53796";"41037";"259141";"26";"4701";"1811";"7676";"11066";"2828";"108578";"9318";"397";"4986";"53266";"227";"17";"206";"13122";"1180";"22495";"3563";"17631";"3808";"70101";"17174";"6953";"12";"117664";"121350";"35314";"7859";"15539";"5477";"2152";"6840";"2034";"46872";"59832";"11127";"194354";"21074";"129883";"20232";"0";"216227";"5006324"
"27 Alagoas";"43953";"4905";"34120";"4618";"765433";"224593";"9232";"5216";"80231";"58";"2446";"293";"1839";"3547";"166";"24278";"2411";"167";"1872";"11299";"31";"0";"25";"2874";"563";"15916";"2651";"3715";"3086";"36179";"4103";"4064";"0";"34225";"50212";"12717";"3244";"5036";"2451";"844";"2611";"741";"16138";"17753";"3745";"66362";"11916";"48720";"9621";"0";"77907";"1658127"
