"Unidade da Federação";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 2 anos";"1 a 4 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 29 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";" Total"
"11 Rondônia";"14002";"11850";"26904";"1270";"22824";"2411";"537";"74";"401677";"191511";"43699";"39876";"81643";"22";"0";"44";"0";"0";"282";"0";"0";"0";"0";"0";"0";"11";"643";"1897";"70";"1133";"8287";"2342";"358";"600";"0";"5763";"271";"0";"15";"4012";"14";"21442";"1530";"13";"22";"270";"5156";"493";"18302";"54015";"1165";"2";"19827";"28274";"34160";"58";"22";"0";"0";"20323";"964";"48279";"457";"242";"61478";"202";"28954";"35570";"21996";"27688";"19374";"13242";"150";"2254";"51351";"12022";"82348";"1475687"
"12 Acre";"3524";"7150";"13225";"1629";"9589";"2350";"70";"38";"227696";"93869";"28734";"23826";"47320";"179";"2";"0";"0";"0";"134";"0";"0";"0";"0";"0";"0";"0";"246";"848";"178";"366";"5981";"906";"263";"2094";"0";"7827";"90";"3";"8";"1746";"0";"10734";"2440";"0";"0";"157";"2151";"171";"10882";"16117";"160";"0";"9862";"14235";"11937";"0";"0";"0";"0";"7070";"166";"20095";"49";"51";"23664";"15";"12104";"15059";"7615";"10434";"8007";"5352";"24";"1988";"29470";"8516";"32191";"740607"
"13 Amazonas";"37844";"48953";"59945";"8306";"42273";"11150";"1648";"1003";"1025931";"491604";"140823";"119247";"206277";"31";"5";"9";"2";"152";"4351";"140";"13";"8";"7";"7";"7";"11";"1288";"4701";"873";"2049";"42792";"5509";"2772";"3859";"2";"25422";"157";"1";"8";"9346";"46411";"64158";"7054";"118";"83912";"5477";"12103";"7116";"51088";"139132";"11548";"16";"54132";"67498";"30583";"170";"37";"102";"27";"46038";"12860";"89483";"9214";"3751";"105048";"2899";"56268";"75187";"35616";"51355";"37973";"25311";"252";"9649";"139503";"45291";"241706";"3866612"
"14 Roraima";"965";"13823";"7840";"889";"5869";"946";"58";"20";"129529";"56999";"15092";"12965";"29700";"32";"6";"0";"0";"0";"599";"0";"0";"0";"0";"0";"0";"0";"130";"1471";"342";"95";"2309";"1065";"255";"798";"0";"2718";"40";"35";"19";"1172";"0";"7045";"2758";"2";"0";"993";"1690";"1192";"11810";"13093";"2020";"4";"8987";"13299";"6231";"0";"0";"0";"0";"7667";"1753";"18417";"1166";"822";"23310";"628";"11173";"9483";"7890";"6482";"4400";"2683";"30";"1080";"13818";"4176";"26489";"496372"
"15 Pará";"64553";"41833";"120551";"15269";"92341";"20934";"2102";"1099";"1924851";"867545";"233273";"205074";"403167";"76";"4";"2";"0";"0";"1954";"3";"0";"0";"0";"0";"0";"2";"3494";"8234";"1966";"3349";"55684";"11533";"1747";"6727";"0";"37511";"2551";"19";"65";"16673";"0";"66205";"20750";"131";"232";"2418";"22002";"2874";"157382";"157316";"6346";"5";"125900";"107230";"85098";"1164";"20";"10";"0";"91793";"4528";"158529";"2667";"1089";"179044";"946";"96929";"185651";"53241";"128960";"97665";"67401";"258";"21014";"293328";"64507";"264742";"6611561"
"16 Amapá";"7115";"5082";"12579";"1621";"8438";"2287";"64";"12";"197324";"91670";"23177";"21135";"40240";"16";"0";"0";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0";"368";"498";"40";"909";"4997";"631";"163";"405";"0";"2656";"35";"0";"2";"1687";"0";"3997";"921";"0";"0";"247";"2160";"441";"9194";"15527";"957";"0";"9336";"12654";"5930";"0";"0";"0";"0";"5614";"452";"16999";"276";"152";"18668";"131";"8995";"12923";"3559";"8989";"7159";"3902";"3";"1142";"32129";"3600";"26884";"636151"
"17 Tocantins";"9559";"7526";"23070";"1152";"18825";"2224";"94";"38";"342142";"156195";"40800";"34052";"61700";"2";"0";"0";"0";"0";"690";"0";"0";"0";"0";"0";"0";"0";"980";"1170";"207";"1364";"3685";"2885";"252";"525";"0";"5187";"411";"4";"9";"3107";"0";"20494";"1470";"6";"0";"1733";"11761";"2132";"14022";"41061";"3822";"2";"17081";"19558";"29577";"0";"0";"0";"0";"18462";"3169";"45157";"1758";"1082";"55334";"671";"22466";"29867";"21632";"24376";"19387";"12603";"20";"2170";"39560";"9207";"72140";"1259635"
"21 Maranhão";"52468";"33449";"105395";"13910";"79003";"19570";"1839";"849";"1730927";"819236";"216172";"188776";"352154";"156";"72";"8";"2";"0";"4398";"0";"0";"0";"6";"0";"0";"0";"1788";"8597";"1216";"3120";"39506";"12491";"2130";"5997";"2";"44082";"2506";"48";"110";"15413";"0";"76629";"32393";"67";"0";"4655";"19548";"4111";"170162";"133312";"4748";"21";"121613";"91990";"64655";"0";"0";"0";"13";"84561";"3110";"143360";"1577";"728";"158740";"477";"87677";"167298";"56693";"120159";"96610";"69071";"756";"22360";"277005";"77159";"299025";"6145679"
"22 Piauí";"21076";"10865";"45354";"2103";"39058";"3647";"270";"100";"661541";"321834";"79837";"74127";"138712";"0";"0";"0";"0";"0";"394";"0";"0";"0";"0";"0";"0";"0";"104";"2459";"87";"396";"8336";"3224";"356";"484";"0";"8008";"508";"13";"138";"3505";"0";"23150";"5387";"70";"2";"741";"5038";"1029";"44890";"43848";"2305";"7";"39319";"35907";"27569";"6";"0";"4";"0";"38250";"1638";"78778";"854";"420";"96192";"298";"45168";"85289";"24061";"69130";"54980";"39161";"52";"3402";"105898";"16041";"112437";"2427857"
"23 Ceará";"48567";"35362";"122148";"6253";"110174";"8603";"338";"251";"1724631";"888475";"197616";"176570";"350055";"8";"3";"38";"0";"0";"1064";"0";"1";"0";"0";"2";"0";"0";"3007";"11049";"289";"2411";"23170";"10832";"520";"2508";"0";"14291";"955";"36";"44";"13155";"234";"1255";"29733";"25";"562";"1989";"18319";"3673";"151948";"18888";"8443";"26";"123052";"104829";"67667";"762";"0";"374";"0";"115625";"8268";"229449";"4343";"1963";"307260";"1139";"127839";"228943";"61065";"177499";"149598";"110124";"83";"12798";"263914";"37730";"239822";"6361667"
