"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 15 a 49 anos";" Total"
"11 Rondônia";"28059";"28242";"1014";"24716";"1744";"648";"228";"371493";"205090";"32482";"31449";"72859";"46";"54";"500";"358";"19853";"23087";"21232";"1693";"38";"6";"3";"1";"5";"1608";"86";"4811";"4066";"334";"525";"0";"5406";"258";"1";"22";"5261";"1370";"21757";"970";"17";"4390";"460";"7939";"601";"13864";"190";"47411";"1148";"2";"16101";"30434";"106";"21";"12";"27";"20061";"1208";"26000";"721";"350";"32080";"191";"13933";"16844";"0";"261";"1893";"48599";"18873";"102331";"0";"0";"1317443"
"12 Acre";"5457";"11979";"1105";"8515";"2117";"460";"202";"172224";"78664";"20455";"16788";"29725";"15";"5";"174";"604";"13600";"14212";"13997";"1672";"23";"2";"2";"4";"7";"263";"40";"4435";"646";"711";"1005";"0";"4203";"38";"0";"1";"594";"148";"6410";"1395";"12";"212";"160";"760";"134";"7336";"1206";"12424";"156";"0";"7032";"2160";"14";"4";"2";"9";"5636";"129";"5098";"77";"38";"4204";"36";"2961";"3243";"855";"72";"1379";"17374";"5360";"33261";"0";"0";"523241"
"13 Amazonas";"76567";"65781";"9379";"46132";"11341";"4685";"2483";"978967";"512698";"102257";"83077";"149597";"67";"6";"3387";"3638";"50179";"15306";"7579";"115";"51";"44";"45";"65";"46";"1565";"244";"31448";"13460";"2478";"3397";"10";"19742";"124";"0";"4";"14009";"4966";"52896";"6202";"92";"5080";"4535";"17488";"5965";"46350";"335";"122441";"10779";"0";"49213";"45237";"86";"187";"52";"126";"46680";"11602";"39289";"8198";"3892";"38224";"2111";"22092";"39604";"261";"394";"7592";"138646";"43569";"251745";"0";"0";"3235902"
"14 Roraima";"7758";"9543";"865";"7446";"1339";"307";"95";"133259";"72496";"11877";"9330";"22861";"17";"8";"1757";"1347";"7978";"8692";"7867";"1041";"7";"2";"0";"1";"0";"457";"208";"2203";"2435";"496";"995";"2";"2883";"21";"16";"1";"2204";"770";"6535";"2929";"31";"1021";"1052";"2880";"1235";"13672";"0";"14458";"2840";"0";"10316";"10659";"4";"3";"0";"3";"8851";"2016";"8378";"1232";"825";"9114";"640";"5740";"6859";"0";"7";"718";"15909";"5280";"36780";"0";"0";"488571"
"15 Pará";"129832";"114632";"11202";"85485";"20850";"6219";"2493";"1605113";"786120";"173364";"153998";"277943";"147";"26";"715";"4337";"109064";"120586";"113291";"11458";"228";"154";"112";"114";"80";"3538";"441";"30966";"8300";"2371";"2813";"0";"17730";"899";"18";"152";"7868";"2734";"54563";"10696";"208";"5933";"2216";"11602";"1983";"115588";"27092";"83664";"3806";"8";"87452";"44475";"614";"1490";"46";"765";"70279";"3109";"62593";"1765";"926";"42526";"723";"19610";"25985";"9091";"672";"8990";"183949";"34127";"259694";"0";"2";"4981635"
"16 Amapá";"13637";"12901";"1209";"8140";"2431";"747";"374";"173399";"88625";"18793";"16123";"29707";"29";"9";"119";"424";"13598";"13420";"13232";"1808";"7";"5";"3";"0";"3";"342";"25";"3637";"528";"218";"202";"0";"2033";"11";"0";"0";"614";"14";"4860";"550";"0";"10";"196";"888";"466";"8062";"2372";"11392";"985";"0";"7896";"3911";"0";"3";"0";"2";"6312";"643";"6396";"334";"156";"4570";"115";"2635";"2450";"682";"23";"949";"26353";"3687";"33451";"0";"2";"546718"
"17 Tocantins";"20565";"23507";"959";"19078";"2429";"766";"260";"312475";"162464";"26813";"25055";"49418";"8";"0";"267";"492";"20875";"22209";"20560";"2552";"22";"6";"1";"5";"2";"861";"23";"2092";"1910";"377";"365";"3";"3259";"290";"4";"5";"2123";"1042";"18316";"1188";"3";"1892";"1029";"2784";"1577";"12532";"7616";"32092";"2793";"0";"14250";"17551";"4";"13";"0";"49";"17026";"2321";"30135";"1607";"990";"30538";"696";"10266";"14710";"3047";"108";"1061";"28152";"9061";"87982";"0";"0";"1074531"
"21 Maranhão";"108981";"107595";"11534";"78369";"16353";"5276";"2368";"1435286";"772861";"174041";"149823";"300581";"302";"79";"829";"1625";"103184";"116246";"113248";"10449";"121";"41";"32";"25";"34";"5611";"628";"28673";"11491";"2305";"3577";"0";"32923";"1726";"12";"272";"13121";"3719";"67191";"21091";"75";"7325";"5349";"15500";"3997";"135670";"6547";"98332";"5119";"25";"93788";"48897";"80";"276";"8";"156";"79540";"2976";"75572";"1745";"945";"63846";"536";"31022";"32840";"7594";"1197";"14386";"234547";"68027";"282208";"0";"10";"5019758"
"22 Piauí";"42827";"41881";"1085";"35195";"3318";"814";"311";"539727";"286867";"43378";"42569";"92045";"10";"15";"41";"2910";"39501";"45176";"41846";"4453";"40";"22";"25";"11";"8";"1769";"52";"4589";"2137";"649";"284";"0";"4252";"343";"11";"92";"2322";"2112";"19461";"2640";"45";"6492";"1143";"3830";"1128";"38066";"8779";"27493";"2672";"26";"32230";"20606";"62";"43";"0";"202";"34453";"2675";"40330";"1701";"978";"34062";"877";"10126";"13226";"8181";"180";"1613";"63560";"9562";"117930";"0";"5";"1787064"
"23 Ceará";"109358";"126485";"5976";"114711";"7988";"1393";"845";"1728514";"1007900";"186265";"179760";"390119";"49";"19";"800";"1034";"129029";"155527";"148123";"12450";"22";"36";"10";"10";"13";"6454";"234";"27129";"12250";"764";"1540";"0";"30724";"997";"2";"7";"15491";"4994";"2305";"18050";"246";"12480";"18233";"22986";"22215";"136708";"751";"19585";"33296";"6";"142117";"78945";"1296";"86";"564";"97";"147091";"44427";"132924";"33984";"22313";"151424";"18759";"49512";"65664";"604";"323";"10471";"260072";"33310";"206843";"0";"1";"6094710"
