"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 15 a 49 anos";"Ignorado";" Total"
"11 Rondônia";"27427";"28243";"871";"25382";"1326";"893";"169";"369510";"196767";"5191";"2302";"74239";"44";"6";"8362";"5794";"4242";"3940";"2009";"418";"246";"41";"5";"20";"11";"1213";"49";"1955";"1930";"14892";"441";"0";"4503";"105";"2";"1";"2168";"20712";"640";"10";"634";"3288";"842";"11460";"40";"35588";"2362";"0";"14429";"17131";"232";"56";"15747";"2438";"15634";"1512";"1156";"18102";"788";"13329";"13198";"1081";"303";"827";"26429";"8307";"57261";"190";"0";"1068443"
"12 Acre";"15203";"12333";"284";"9084";"2502";"1045";"362";"180429";"93674";"10248";"6956";"31266";"2";"2";"4563";"2769";"1906";"1339";"567";"200";"11";"2";"2";"0";"1";"37";"8";"928";"502";"9656";"73";"0";"1414";"2";"0";"0";"440";"8107";"209";"3";"310";"621";"168";"4872";"123";"8154";"222";"0";"3472";"1979";"8";"18";"2659";"327";"1032";"250";"180";"430";"88";"679";"1392";"9127";"13";"138";"3239";"949";"26137";"0";"2";"462718"
"13 Amazonas";"69298";"55919";"1135";"39839";"12843";"4801";"1884";"855278";"494235";"43680";"21181";"150130";"36";"14";"22077";"14629";"11142";"9736";"2644";"582";"44";"39";"61";"46";"65";"121";"213";"6194";"6188";"45939";"195";"0";"6278";"11";"0";"0";"5773";"50198";"322";"17";"4234";"7902";"3698";"14270";"234";"74415";"7091";"0";"25984";"18522";"189";"46";"26037";"9784";"7782";"7670";"4668";"3150";"2868";"3017";"6236";"15991";"56";"404";"49018";"2818";"119507";"0";"0";"2348378"
"14 Roraima";"8878";"9447";"915";"7275";"1114";"388";"192";"143768";"78634";"5213";"2301";"28293";"92";"36";"3576";"2059";"1288";"2132";"697";"97";"56";"5";"3";"1";"1";"997";"60";"1326";"3605";"6966";"326";"0";"2437";"15";"1";"3";"2140";"6865";"827";"9";"1430";"3397";"1794";"6412";"0";"17696";"4568";"3";"9217";"10270";"1";"1";"8123";"3528";"4282";"2474";"1464";"3806";"1312";"4222";"5987";"0";"50";"475";"11345";"3503";"20973";"0";"0";"448371"
"15 Pará";"79314";"91933";"184";"68559";"19298";"6802";"2626";"1321050";"682630";"44595";"21673";"192552";"0";"0";"40040";"26864";"20224";"20806";"6623";"2293";"99";"32";"20";"27";"25";"105";"11";"4078";"498";"55380";"7";"0";"7220";"3";"0";"0";"490";"63071";"23";"0";"7294";"995";"2794";"40736";"2578";"59814";"3957";"0";"36878";"2891";"142";"91";"31198";"5448";"7795";"4146";"2722";"104";"1770";"1066";"1516";"30673";"8";"16";"41178";"441";"193614";"0";"0";"3259020"
"16 Amapá";"13968";"13623";"1336";"9679";"3120";"1490";"789";"190267";"99748";"7178";"3260";"27973";"46";"18";"5134";"3625";"3183";"2259";"801";"554";"51";"1";"3";"6";"3";"171";"19";"2528";"400";"6947";"149";"0";"2375";"6";"0";"0";"370";"5867";"248";"0";"678";"588";"534";"5436";"34";"8694";"604";"0";"4576";"1757";"28";"20";"4136";"404";"3065";"244";"150";"2042";"114";"1634";"1568";"1559";"122";"710";"15345";"1824";"18947";"0";"0";"482008"
"17 Tocantins";"19327";"21247";"0";"16831";"3726";"1092";"347";"288411";"167508";"7201";"2186";"61656";"0";"0";"10760";"5235";"3459";"3126";"997";"465";"22";"7";"1";"4";"1";"0";"0";"308";"6";"16863";"0";"0";"671";"2";"0";"0";"0";"17144";"0";"0";"836";"0";"764";"5866";"900";"25416";"2348";"0";"8912";"4";"14";"10";"8885";"2866";"1011";"2198";"1430";"2";"1132";"587";"530";"13209";"0";"0";"5980";"5";"55286";"336";"0";"787130"
"21 Maranhão";"83404";"82978";"4192";"59845";"16085";"5934";"2492";"1172543";"648110";"44900";"20783";"197016";"68";"12";"38764";"21883";"15151";"16577";"5515";"1260";"113";"64";"58";"54";"88";"1860";"52";"5887";"3124";"48666";"707";"1";"12981";"313";"0";"120";"3395";"58377";"2928";"82";"10102";"5507";"5049";"59990";"2132";"55850";"5135";"0";"40844";"22748";"569";"1330";"38550";"3618";"24831";"2590";"1334";"18458";"1048";"10466";"10318";"35915";"269";"2260";"69677";"11446";"154874";"115";"8";"3171415"
"22 Piauí";"33056";"35244";"145";"30175";"4786";"1192";"429";"492822";"312496";"23163";"17087";"107490";"18";"0";"15573";"8336";"5219";"5253";"1434";"547";"48";"10";"9";"9";"7";"194";"0";"840";"304";"20797";"16";"0";"2812";"53";"0";"0";"278";"28379";"213";"0";"2566";"323";"2362";"12140";"871";"17167";"6658";"0";"19756";"2531";"46";"92";"17384";"4244";"8174";"2898";"2010";"1444";"1422";"1829";"2308";"104788";"23";"106";"17117";"1706";"72456";"1715";"1";"1452571"
"23 Ceará";"124567";"138975";"4417";"127822";"8942";"3430";"754";"1718935";"1090385";"24460";"12042";"214632";"67";"53";"59767";"30165";"21696";"22316";"9568";"3210";"417";"61";"40";"46";"35";"3907";"367";"4978";"7703";"951";"1643";"0";"13569";"673";"1";"20";"9698";"1161";"10708";"155";"7111";"15911";"9803";"84876";"899";"19043";"17124";"2";"93859";"65674";"326";"659";"89934";"19994";"71557";"13253";"8001";"58316";"5928";"36015";"51085";"13291";"634";"4130";"150713";"25915";"192291";"11858";"85";"4740623"
