"Unidade da Federação";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"11 Rondônia";"24930";"24772";"1965";"20972";"3535";"1116";"468";"357538";"179540";"6627";"2470";"50008";"127";"122";"10887";"7858";"8689";"23236";"18455";"4672";"509";"209";"168";"125";"90";"327";"63";"999";"608";"8183";"185";"0";"3005";"14";"1";"4";"851";"12958";"159";"0";"849";"1048";"819";"9386";"38830";"16364";"2709";"0";"18199";"6599";"419";"309";"17045";"3464";"5524";"2893";"2148";"5006";"1651";"5060";"5187";"15215";"108";"223";"12430";"2970";"89354";"232";"1040486"
"12 Acre";"14162";"12037";"1766";"8563";"2802";"1109";"456";"175108";"92708";"12101";"5581";"26243";"402";"234";"7256";"5205";"5988";"12083";"9259";"2699";"74";"12";"27";"15";"2";"16";"12";"1349";"225";"7920";"150";"0";"2071";"0";"0";"5";"346";"6068";"180";"0";"289";"460";"168";"5908";"13942";"1388";"197";"0";"4624";"1047";"24";"59";"3941";"238";"1118";"184";"102";"492";"72";"778";"429";"2590";"37";"221";"3934";"706";"34192";"441";"491815"
"13 Amazonas";"68956";"56546";"7514";"38482";"13221";"5302";"2175";"844769";"479999";"60925";"28115";"143696";"2017";"1383";"33191";"24171";"30556";"90476";"68560";"13995";"604";"226";"292";"266";"236";"68";"65";"6041";"11200";"24868";"149";"0";"8148";"2";"0";"5";"12714";"36742";"235";"0";"4562";"12986";"3168";"23884";"118414";"6471";"6813";"0";"36196";"31259";"1066";"159";"38007";"8126";"10063";"6585";"4286";"2042";"2896";"3160";"8439";"24960";"13";"233";"62631";"2074";"196929";"1653";"2732985"
"14 Roraima";"12656";"10215";"1033";"7531";"1324";"634";"297";"142968";"79644";"6105";"2866";"28698";"334";"133";"5333";"3241";"3965";"13081";"11174";"2345";"232";"84";"80";"63";"65";"684";"28";"1421";"2475";"5368";"666";"0";"2535";"38";"2";"0";"2208";"7151";"1435";"11";"855";"3893";"1086";"11764";"2265";"40821";"2336";"9";"12421";"11330";"181";"48";"11818";"2292";"10869";"1705";"1289";"12922";"1063";"10926";"9469";"501";"38";"310";"11439";"4039";"40202";"279";"564293"
"15 Pará";"106878";"85563";"14275";"58043";"22460";"8827";"3580";"1304372";"718203";"73175";"30145";"180557";"2769";"2374";"56141";"42771";"47803";"114589";"90160";"26803";"1315";"224";"294";"270";"313";"30";"3";"5384";"46";"53985";"15";"0";"10044";"0";"0";"0";"64";"68875";"25";"0";"5945";"282";"4171";"75108";"273327";"6592";"6270";"0";"67117";"1955";"1876";"800";"58699";"6544";"11662";"5308";"3520";"528";"2554";"2672";"958";"38433";"2";"8";"54252";"143";"319868";"3058";"4082027"
"16 Amapá";"14111";"10852";"1539";"7126";"2671";"1246";"663";"153038";"82647";"11388";"5253";"19417";"703";"535";"6862";"5220";"6773";"14367";"11598";"4610";"210";"14";"27";"33";"29";"42";"0";"1069";"104";"6764";"16";"0";"1676";"0";"0";"0";"121";"6141";"77";"0";"514";"263";"446";"8440";"17496";"1519";"651";"0";"6657";"783";"119";"76";"5730";"532";"2350";"426";"287";"726";"191";"623";"336";"3071";"6";"70";"5936";"612";"33972";"1143";"469917"
"17 Tocantins";"23154";"21569";"1611";"16462";"3673";"1136";"426";"282689";"159732";"8779";"3007";"46187";"127";"221";"14464";"8053";"11209";"35975";"27784";"6501";"167";"11";"14";"18";"25";"0";"2";"327";"5";"8321";"0";"0";"885";"0";"0";"0";"5";"11677";"0";"0";"750";"17";"718";"8490";"59448";"0";"2384";"0";"14032";"112";"112";"140";"15174";"3363";"1550";"2915";"2081";"0";"1598";"971";"566";"29179";"0";"0";"15538";"0";"87503";"126";"940983"
"21 Maranhão";"109302";"80363";"11456";"54009";"18006";"7635";"2892";"1199024";"680976";"65121";"24484";"173437";"3133";"2267";"61841";"42291";"50147";"123729";"96022";"27262";"788";"91";"125";"61";"101";"1465";"13";"5653";"2159";"33793";"556";"0";"14571";"268";"2";"9";"2089";"47143";"2211";"46";"8304";"3362";"4819";"84950";"129010";"49604";"6407";"0";"62496";"12864";"713";"912";"62394";"6467";"35020";"4967";"2924";"26400";"2138";"18988";"13364";"48959";"271";"1488";"78635";"8598";"289664";"3389";"3911648"
"22 Piauí";"42863";"34400";"3790";"27049";"6658";"2207";"684";"489729";"297319";"15172";"4599";"79545";"918";"656";"23001";"15089";"18355";"49031";"39550";"10961";"607";"188";"170";"189";"163";"157";"0";"757";"543";"15987";"30";"0";"2152";"6";"0";"0";"463";"15615";"133";"0";"1455";"516";"650";"19542";"52472";"4205";"1380";"0";"19280";"3479";"1386";"171";"20835";"1529";"9572";"1168";"816";"2200";"611";"2266";"3161";"24565";"46";"122";"28090";"1030";"106281";"936";"1506500"
"23 Ceará";"127500";"132516";"9261";"112998";"11398";"3648";"953";"1583007";"968275";"49093";"31499";"216872";"1180";"878";"75290";"46220";"67216";"164530";"134163";"34734";"4040";"2461";"2898";"2764";"2181";"3512";"434";"6522";"7453";"22221";"1481";"0";"13195";"458";"12";"37";"10383";"4911";"9306";"103";"4320";"13592";"3388";"80032";"19884";"40470";"7410";"15";"88233";"69687";"15198";"11762";"85358";"10061";"74346";"6945";"4162";"66662";"3103";"47215";"71265";"53164";"450";"3750";"144044";"23225";"270247";"1279";"5084870"
"24 Rio Grande do Norte";"29311";"32781";"2986";"24674";"5408";"1636";"699";"407680";"261267";"20355";"7182";"55457";"1310";"1074";"20039";"13588";"18513";"38429";"30929";"11287";"236";"32";"17";"23";"35";"262";"11";"1441";"497";"1149";"134";"0";"2595";"24";"0";"0";"667";"982";"539";"26";"973";"1142";"395";"18618";"10763";"5313";"1206";"0";"19227";"5527";"175";"317";"20546";"974";"12590";"728";"547";"11190";"390";"8179";"9190";"17044";"86";"291";"22319";"2739";"97973";"1793";"1263510"
"25 Paraíba";"49057";"44240";"5582";"34594";"8542";"2635";"1150";"576895";"373374";"19650";"7248";"81188";"686";"523";"28916";"18866";"26837";"68744";"55190";"14982";"160";"44";"34";"22";"26";"202";"34";"2773";"819";"871";"120";"0";"2889";"42";"0";"9";"592";"954";"773";"11";"790";"2332";"717";"28824";"11200";"4941";"2677";"0";"32832";"9574";"270";"319";"31455";"3673";"17087";"1699";"967";"12602";"782";"9460";"8812";"14420";"289";"735";"40567";"5056";"124678";"529";"1796561"
