"Unidade da Federação";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"11 Rondônia";"23895";"40";"23904";"1142";"20652";"3030";"932";"265";"328661";"174659";"7517";"3329";"53906";"2";"0";"9229";"5554";"19069";"10666";"5919";"2458";"862";"126";"82";"79";"66";"10";"138";"446";"120";"488";"1";"0";"0";"1542";"1";"0";"1";"46";"0";"734";"4";"0";"734";"76";"1310";"9702";"29329";"46";"3772";"0";"26149";"1298";"475";"167";"27994";"9305";"116";"8381";"6689";"0";"5250";"2504";"48";"1469";"35";"25804";"34";"36";"1";"0";"22305";"1";"83070";"175";"965850"
"12 Acre";"14960";"134";"13288";"1617";"9847";"2783";"1249";"445";"181006";"97201";"9551";"5141";"28421";"24";"6";"2861";"2648";"7526";"5540";"3716";"899";"108";"5";"3";"6";"2";"4";"312";"1048";"264";"463";"22";"0";"2";"2012";"0";"0";"11";"79";"1";"546";"88";"0";"618";"101";"724";"5776";"5763";"409";"1084";"0";"8037";"328";"23";"17";"6965";"1160";"491";"1026";"735";"344";"513";"1232";"117";"521";"80";"2562";"74";"43";"5";"52";"12498";"52";"24669";"96";"469954"
"13 Amazonas";"69874";"636";"61917";"6194";"45950";"13069";"4745";"1852";"891928";"508750";"55083";"27647";"195857";"64";"21";"37772";"23893";"77185";"41442";"24814";"9634";"1999";"46";"35";"50";"60";"76";"758";"4614";"9435";"2704";"162";"0";"2";"8467";"13";"4";"48";"8616";"0";"4457";"253";"40";"4292";"10055";"5515";"32272";"76763";"1235";"11218";"0";"66598";"24929";"687";"75";"71268";"16372";"1888";"14278";"10654";"996";"7863";"5382";"185";"8524";"154";"37592";"139";"89";"44";"219";"66036";"1886";"217920";"416";"2835710"
"14 Roraima";"13588";"26";"9461";"1006";"6820";"1783";"614";"226";"136460";"75678";"14719";"10284";"30673";"56";"22";"3669";"2204";"7110";"5655";"2696";"1637";"332";"80";"30";"21";"8";"0";"26";"2393";"1176";"3720";"66";"0";"0";"6805";"0";"0";"2";"868";"0";"4871";"87";"0";"2936";"1048";"3463";"19442";"63589";"355";"8577";"0";"30711";"2732";"45";"57";"26823";"7636";"378";"6095";"4470";"302";"3326";"1530";"12";"1037";"10";"6561";"2";"1";"7";"24";"9021";"111";"87338";"148";"632659"
"15 Pará";"103539";"2014";"101486";"10792";"75229";"21866";"7601";"2935";"1363635";"762888";"79497";"33894";"223997";"228";"80";"48779";"32350";"84562";"61219";"32143";"14524";"3476";"599";"300";"283";"237";"122";"2613";"7614";"2737";"2223";"197";"0";"8";"22357";"39";"0";"167";"246";"7";"4125";"577";"0";"11734";"354";"15997";"65250";"75788";"2254";"29352";"0";"142103";"2078";"1212";"945";"140340";"40314";"4315";"36311";"27486";"16";"20444";"10929";"656";"5254";"606";"44656";"417";"336";"46";"0";"112574";"1";"262388";"774";"4166115"
"16 Amapá";"15042";"78";"12129";"1340";"8320";"2808";"1217";"555";"159208";"91678";"12193";"5813";"27249";"15";"0";"4660";"3107";"8047";"5114";"2719";"993";"268";"10";"8";"9";"14";"20";"153";"604";"107";"320";"12";"0";"0";"1321";"0";"0";"5";"13";"0";"478";"61";"0";"541";"36";"577";"5554";"8437";"149";"1043";"0";"9646";"164";"71";"16";"8590";"1755";"246";"1652";"1174";"0";"867";"712";"50";"321";"42";"2875";"35";"25";"3";"0";"11489";"0";"23365";"127";"445250"
"17 Tocantins";"27917";"20";"21752";"1413";"17464";"3603";"1059";"334";"285130";"154863";"7266";"2257";"50121";"2";"2";"10526";"5158";"19619";"12665";"7055";"3194";"804";"325";"128";"104";"79";"7";"69";"201";"59";"192";"2";"0";"0";"842";"0";"0";"1";"54";"0";"331";"1";"0";"555";"59";"957";"6184";"12719";"39";"2436";"0";"17057";"713";"434";"208";"19233";"5314";"71";"5172";"4081";"0";"3195";"2676";"7";"1791";"12";"25207";"9";"8";"3";"0";"20485";"0";"67072";"102";"830418"
"21 Maranhão";"87702";"153";"85260";"7945";"64790";"16604";"5573";"1924";"1084550";"660857";"48044";"21518";"169637";"61";"33";"44090";"24515";"79368";"45923";"24424";"9543";"2410";"176";"59";"61";"62";"581";"214";"4229";"1886";"2131";"209";"0";"6";"12366";"46";"0";"79";"1183";"1";"5414";"561";"3";"7844";"1441";"8611";"74684";"81359";"11184";"14643";"0";"103058";"5314";"314";"373";"100975";"23104";"8209";"20159";"14358";"8128";"10236";"12010";"121";"7171";"99";"66370";"74";"61";"180";"443";"91818";"2694";"271393";"777";"3461396"
"22 Piauí";"40357";"504";"38257";"2496";"32404";"5892";"1653";"518";"495792";"309391";"13855";"5853";"87830";"75";"5";"18528";"10510";"34759";"20219";"10937";"4788";"1077";"116";"70";"45";"47";"48";"1363";"784";"1097";"548";"26";"0";"1";"2073";"3";"0";"12";"177";"1";"987";"64";"0";"1379";"199";"2028";"15206";"29244";"784";"4390";"0";"52317";"1689";"485";"423";"58285";"13733";"2727";"12086";"9717";"1144";"7357";"5971";"941";"2846";"989";"34851";"773";"731";"14";"55";"39462";"290";"106856";"243";"1550377"
"23 Ceará";"100836";"3379";"117648";"7644";"103119";"13440";"4350";"1197";"1388393";"896131";"28738";"12363";"248138";"177";"60";"48464";"26414";"94439";"46146";"25762";"11825";"2686";"628";"188";"384";"268";"679";"6294";"2714";"6586";"1519";"237";"1";"3";"6461";"128";"4";"128";"1337";"3";"1881";"1138";"37";"4028";"2273";"5068";"52578";"20242";"7646";"10609";"2";"116147";"14992";"1771";"877";"119290";"19577";"22944";"15781";"11709";"10890";"9026";"20470";"4732";"18041";"4263";"70301";"3278";"2569";"137";"520";"125458";"3702";"256756";"77";"4167721"
