"Unidade da Federação";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"Ignorado";" Total"
"11 Rondônia";"18276";"1398";"22113";"1554";"17670";"3781";"1274";"434";"302832";"171243";"9824";"3265";"85505";"80";"7";"9387";"4871";"16738";"8861";"4611";"2012";"699";"79";"41";"40";"46";"65";"1207";"1034";"1161";"13581";"46";"0";"2028";"2";"0";"19";"145";"0";"7620";"64";"0";"918";"190";"1486";"6322";"22115";"1960";"3400";"0";"16365";"3029";"260";"75";"18055";"8036";"2866";"7441";"6329";"0";"5108";"8568";"202";"2998";"123";"15955";"104";"85";"1";"21260";"63691";"73";"930628"
"12 Acre";"10894";"2213";"9847";"1538";"7439";"2414";"1067";"471";"141382";"76283";"8257";"3297";"31290";"161";"52";"1604";"1167";"3693";"2709";"1374";"293";"62";"9";"5";"5";"2";"4";"2149";"1289";"1504";"6984";"68";"0";"3305";"2";"0";"68";"33";"6";"2629";"114";"0";"1215";"55";"1255";"3458";"3934";"489";"1593";"0";"5498";"351";"20";"10";"4675";"2382";"2278";"2210";"1688";"0";"1251";"1748";"792";"643";"677";"1365";"513";"364";"5";"9449";"18685";"93";"392379"
"13 Amazonas";"64360";"5289";"51521";"7356";"34585";"13707";"5940";"2416";"788997";"435075";"39381";"16012";"210257";"266";"55";"29981";"15965";"52535";"24727";"12330";"5871";"1275";"80";"47";"27";"32";"40";"6496";"4480";"3932";"43043";"238";"2";"8397";"4";"1";"121";"179";"6";"21359";"353";"0";"3752";"331";"4840";"20198";"54295";"5086";"8878";"0";"39259";"7748";"443";"120";"42839";"12151";"9485";"11197";"8827";"18";"6372";"12595";"1726";"8639";"1244";"24693";"827";"608";"10";"60117";"158569";"250";"2411855"
"14 Roraima";"11210";"1682";"8677";"977";"5978";"2002";"728";"280";"128712";"62378";"7613";"4806";"27141";"59";"20";"3056";"1797";"5175";"3395";"1778";"912";"231";"18";"5";"5";"7";"36";"912";"1181";"928";"3089";"212";"0";"2903";"0";"0";"28";"120";"0";"2033";"218";"0";"1274";"154";"1616";"14068";"20018";"1340";"3843";"0";"16987";"2644";"32";"24";"14698";"2975";"2106";"2440";"1926";"0";"1412";"2197";"215";"877";"139";"3896";"103";"69";"0";"3198";"47376";"125";"436054"
"15 Pará";"80753";"9790";"80268";"11907";"57346";"20958";"8849";"3871";"1180064";"672131";"76800";"28039";"268693";"1630";"277";"41140";"26700";"67826";"49360";"23072";"11365";"2534";"438";"237";"148";"173";"445";"13093";"15280";"11155";"36196";"740";"11";"44621";"84";"0";"709";"660";"18";"15003";"1930";"5";"24984";"796";"30505";"48978";"61259";"12705";"52368";"0";"128998";"6383";"658";"453";"128138";"66877";"22637";"62248";"49262";"72";"39334";"63289";"4551";"15728";"3608";"27415";"2501";"1846";"19";"97783";"237475";"529";"4055718"
"16 Amapá";"10543";"525";"7039";"1396";"4261";"1973";"1131";"605";"107113";"60428";"6884";"2589";"22085";"262";"33";"3173";"1967";"5210";"3632";"1810";"760";"142";"12";"17";"12";"10";"14";"1120";"1760";"713";"2927";"62";"1";"3914";"1";"0";"58";"42";"4";"1171";"190";"0";"1756";"17";"1756";"3268";"3859";"1012";"2511";"0";"6282";"209";"41";"20";"5854";"2911";"1596";"2710";"2439";"0";"1967";"2479";"544";"455";"468";"752";"282";"226";"1";"6080";"13210";"80";"318374"
"17 Tocantins";"21828";"1009";"19470";"1675";"15425";"3823";"1296";"467";"272758";"157928";"10228";"2465";"75524";"90";"11";"10783";"5381";"17385";"9708";"5893";"2369";"713";"101";"41";"18";"26";"69";"1295";"558";"917";"15959";"24";"1";"1219";"7";"2";"24";"92";"1";"3635";"71";"0";"744";"113";"1393";"5006";"10810";"1031";"2524";"1";"11755";"1834";"127";"34";"13490";"6358";"2995";"6398";"5377";"2";"4078";"5263";"479";"4869";"464";"13796";"325";"229";"4";"19868";"59164";"66";"838886"
"21 Maranhão";"65169";"6292";"63609";"8307";"47418";"16188";"6359";"2654";"916953";"586158";"47626";"15862";"225847";"948";"216";"38699";"21119";"63836";"39996";"16856";"7672";"1927";"271";"150";"85";"103";"628";"4469";"8284";"6070";"32266";"706";"25";"21041";"97";"1";"824";"896";"24";"15274";"2136";"2";"14767";"930";"17666";"57206";"57794";"14572";"23839";"0";"69533";"5429";"360";"376";"65143";"23850";"21020";"22680";"17386";"76";"13074";"21429";"1426";"12699";"1212";"35661";"870";"681";"16";"63300";"242295";"662";"3099015"
"22 Piauí";"35658";"2241";"29659";"3936";"24698";"7686";"2833";"1119";"441159";"299513";"15229";"4735";"127066";"352";"40";"19430";"10437";"34562";"19903";"10168";"4847";"1088";"74";"62";"37";"34";"51";"3174";"2029";"1511";"21166";"111";"10";"6295";"11";"0";"122";"137";"2";"11203";"358";"1";"4972";"160";"7149";"12554";"26516";"3174";"9195";"0";"27554";"1586";"248";"360";"32629";"13613";"7309";"13457";"11255";"14";"8472";"14151";"1733";"3565";"1460";"21020";"1155";"868";"3";"38126";"97200";"205";"1502450"
"23 Ceará";"76820";"29397";"102311";"10166";"89438";"18350";"6086";"2177";"1342345";"924441";"68606";"35473";"342741";"2199";"300";"51120";"28525";"88834";"51805";"24819";"13609";"3661";"614";"312";"158";"184";"726";"27047";"8575";"17759";"60325";"681";"17";"17265";"39";"0";"752";"813";"8";"43297";"2188";"2";"12020";"1098";"16431";"49970";"81488";"24554";"22997";"1";"76103";"10790";"867";"614";"80153";"27757";"50545";"26439";"21863";"82";"17013";"49293";"12767";"13643";"10347";"40462";"7755";"5320";"10";"100285";"257295";"233";"4512180"
"24 Rio Grande do Norte";"34661";"4746";"31221";"3100";"24896";"6715";"2758";"945";"406270";"274937";"20472";"6887";"97381";"436";"62";"16016";"9162";"26271";"16923";"8677";"4516";"952";"80";"68";"21";"30";"91";"3523";"2464";"2724";"3727";"99";"2";"6329";"2";"0";"175";"142";"3";"2302";"326";"4";"4474";"157";"6707";"12630";"10377";"1386";"8479";"0";"28981";"2032";"175";"110";"33091";"16629";"11290";"17304";"15239";"14";"12584";"12169";"1430";"4813";"1148";"20900";"876";"637";"5";"32832";"111940";"16";"1388541"
"25 Paraíba";"33924";"2773";"39213";"4526";"31839";"8721";"3321";"1318";"520467";"361482";"38636";"23275";"136045";"874";"216";"21467";"10798";"34656";"18798";"8665";"4336";"1051";"158";"76";"57";"50";"109";"2864";"3358";"2454";"7305";"187";"16";"5573";"7";"0";"430";"232";"3";"3015";"424";"5";"3357";"233";"4337";"12846";"6499";"1331";"6019";"0";"20915";"1499";"155";"235";"24256";"5769";"10235";"5170";"4397";"58";"3511";"12200";"1451";"6094";"1212";"19946";"992";"731";"8";"40303";"103599";"111";"1630193"
"26 Pernambuco";"103419";"5529";"90040";"7850";"75868";"17516";"5951";"2026";"1241837";"853332";"102559";"62587";"336297";"1261";"243";"51344";"26103";"76456";"42430";"23564";"12812";"3105";"457";"289";"165";"164";"155";"7902";"6736";"5023";"200975";"300";"25";"11437";"35";"0";"574";"283";"7";"161744";"621";"5";"6334";"306";"8704";"33752";"468558";"68381";"14180";"0";"71298";"5560";"777";"1205";"82498";"35825";"19990";"36732";"31850";"70";"26409";"36330";"3600";"13711";"2882";"67983";"2250";"1626";"16";"105865";"343578";"437";"5029733"
"27 Alagoas";"29604";"1820";"34449";"3450";"27609";"7227";"2598";"959";"459339";"311394";"27258";"13469";"109293";"455";"79";"17852";"10073";"29710";"18924";"10167";"5480";"1348";"294";"170";"85";"87";"159";"2436";"2415";"1639";"4100";"195";"12";"7485";"9";"0";"376";"257";"6";"1991";"500";"0";"4988";"253";"6597";"20742";"8163";"1988";"11320";"0";"77913";"2331";"379";"319";"78285";"45283";"10212";"46122";"41225";"40";"35012";"13260";"859";"5723";"768";"21052";"498";"384";"12";"33270";"151692";"65";"1763528"
"28 Sergipe";"24187";"1286";"22169";"1464";"19818";"3313";"1021";"378";"287549";"188655";"7236";"2478";"63870";"119";"15";"18542";"16108";"16280";"10809";"6216";"3127";"673";"66";"46";"15";"21";"76";"1282";"644";"850";"694";"53";"1";"2355";"3";"0";"106";"121";"0";"386";"201";"2";"2070";"198";"3014";"12806";"3554";"528";"5534";"0";"36086";"1719";"163";"53";"37946";"17212";"5918";"17366";"14650";"10";"12107";"7999";"551";"2902";"363";"12839";"280";"148";"2";"19391";"97134";"10";"1014788"
"29 Bahia";"140730";"15822";"136544";"12412";"110226";"26536";"9045";"3158";"1900104";"1179184";"53160";"19147";"509559";"1949";"404";"77659";"35245";"123890";"63687";"32630";"16698";"4838";"603";"395";"252";"292";"966";"18720";"9687";"15154";"100593";"1082";"36";"16456";"86";"6";"1014";"1416";"12";"44481";"2169";"6";"9154";"1715";"14013";"62080";"94761";"21575";"21995";"1";"114565";"14826";"1335";"683";"129452";"60207";"51468";"66810";"57171";"162";"45606";"76132";"15290";"30495";"12254";"110752";"8953";"6255";"8";"107945";"539200";"926";"6361842"
"31 Minas Gerais";"192385";"22070";"217131";"9344";"197919";"23967";"8317";"2221";"2922621";"1882864";"52683";"14444";"939234";"1415";"189";"146354";"58366";"204823";"91903";"45179";"23014";"8187";"1162";"645";"359";"354";"1137";"22022";"6062";"12389";"274143";"530";"23";"14903";"42";"4";"517";"1318";"5";"82200";"1062";"12";"7468";"2063";"14756";"55538";"129311";"25768";"28160";"5";"186321";"30537";"2364";"790";"220593";"136266";"81639";"155027";"144759";"120";"122946";"202772";"15700";"91321";"12400";"343004";"8471";"5906";"16";"159619";"1007267";"1057";"10675483"
"32 Espírito Santo";"38292";"3373";"43185";"2853";"36537";"6855";"3144";"1062";"608401";"387141";"24185";"7685";"185546";"87";"10";"24529";"10522";"37361";"16723";"8540";"6176";"2094";"547";"234";"97";"99";"38";"1965";"1538";"1872";"64903";"96";"2";"2732";"3";"0";"60";"160";"1";"8559";"154";"1";"1436";"387";"2759";"15528";"36034";"3131";"4664";"0";"41085";"18670";"473";"155";"49362";"35164";"7288";"38568";"35688";"12";"29463";"39066";"865";"13406";"682";"66157";"458";"322";"5";"39904";"203296";"310";"2221700"
"33 Rio de Janeiro";"89627";"19791";"121323";"7745";"101174";"19326";"7463";"2870";"1672266";"1016529";"93423";"36167";"434403";"1455";"248";"55859";"35463";"92235";"59759";"34491";"19550";"5213";"815";"480";"281";"278";"427";"20102";"11924";"14558";"58486";"406";"17";"18397";"21";"0";"695";"797";"12";"16059";"709";"3";"9111";"967";"23814";"26248";"49490";"6881";"38187";"1";"115233";"13624";"1821";"1161";"143336";"108722";"28901";"132500";"131011";"112";"118113";"136760";"12940";"38056";"10398";"94059";"7471";"4840";"15";"100658";"384905";"428";"5810610"
"35 São Paulo";"321671";"65956";"482473";"18319";"440111";"44980";"21961";"5602";"6465492";"4141896";"245085";"67412";"1949011";"15398";"2498";"267493";"121421";"352533";"187847";"105889";"51425";"20322";"1130";"552";"299";"305";"738";"249612";"35677";"89428";"467662";"1200";"28";"37525";"36";"14";"1919";"1672";"4";"129222";"1792";"0";"11962";"2732";"26555";"92326";"349398";"52860";"46876";"6";"250758";"43209";"3426";"1172";"346818";"177198";"150653";"203208";"188760";"462";"153807";"343249";"29537";"180119";"22506";"502550";"15531";"9844";"13";"268555";"1838461";"1723";"21727884"
"41 Paraná";"94486";"18816";"130769";"7212";"114011";"17877";"7730";"2087";"1772543";"1003142";"34721";"13025";"547568";"350";"96";"83126";"31295";"113754";"41801";"17394";"12375";"5154";"450";"183";"151";"240";"168";"21947";"3345";"8203";"198973";"570";"3";"9547";"15";"10";"100";"331";"3";"125888";"875";"1";"4975";"712";"7889";"35790";"246098";"45037";"18823";"6";"125717";"10661";"1501";"336";"153314";"72632";"43878";"83435";"79883";"116";"73919";"231973";"8398";"36799";"6601";"142224";"4652";"2982";"7";"93873";"501575";"617";"6474758"
"42 Santa Catarina";"71656";"15865";"85688";"4698";"72575";"12096";"4692";"1370";"1142191";"667860";"31843";"10769";"344417";"225";"54";"46175";"19094";"63330";"29813";"15561";"8812";"2449";"197";"90";"58";"34";"42";"13410";"2128";"7116";"95648";"377";"7";"5551";"3";"3";"68";"293";"4";"55630";"563";"0";"2868";"404";"4623";"25440";"246635";"30651";"11767";"0";"62666";"6847";"517";"100";"88251";"35339";"34597";"44783";"40563";"128";"34944";"78512";"10482";"21304";"8491";"129941";"5825";"3560";"4";"60494";"368604";"413";"4191208"
"43 Rio Grande do Sul";"99296";"8576";"115778";"6262";"98288";"15621";"6483";"1819";"1530412";"905733";"52234";"19438";"475512";"507";"92";"57911";"29316";"90888";"47968";"29716";"15512";"4026";"528";"310";"132";"106";"166";"5645";"4795";"6588";"136159";"335";"10";"8347";"3";"3";"394";"272";"1";"90772";"572";"1";"4262";"570";"6387";"29286";"119159";"14565";"15020";"4";"51805";"11052";"615";"227";"66079";"22456";"19489";"28432";"24812";"154";"20823";"41626";"1226";"32574";"852";"106288";"645";"438";"7";"88216";"317292";"333";"4891221"
"50 Mato Grosso do Sul";"24843";"3781";"34572";"2625";"29240";"5916";"2094";"640";"459260";"266060";"13867";"4189";"134012";"198";"33";"16127";"9274";"26371";"14975";"7821";"4054";"996";"65";"38";"27";"22";"236";"2327";"1581";"2419";"23423";"101";"1";"4188";"2";"0";"38";"438";"2";"11374";"217";"0";"2163";"453";"3151";"13020";"27011";"2911";"5196";"0";"24743";"4608";"191";"88";"28115";"11815";"6202";"11988";"10212";"4";"8457";"10702";"646";"8160";"558";"24746";"347";"225";"3";"30101";"98518";"237";"1442018"
"51 Mato Grosso";"42213";"5417";"43021";"5020";"33080";"9486";"3481";"1335";"608245";"354034";"22587";"7173";"162763";"222";"54";"23578";"20425";"33689";"23134";"11932";"5495";"1444";"125";"61";"22";"34";"204";"3866";"2201";"3399";"44412";"226";"11";"7933";"15";"5";"65";"258";"1";"19305";"402";"1";"5587";"344";"5918";"24340";"49152";"5107";"9312";"0";"35207";"3894";"294";"226";"37076";"11582";"9218";"11620";"9483";"22";"7569";"17964";"1288";"6629";"933";"28414";"644";"417";"4";"45873";"147046";"248";"1975785"
