 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Região/Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Sarampo
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2008/Mai";"2008/Jul";"2009/Nov";"2010/Nov";"2013/Jun";"2018/Mar";"2018/Jul";"2018/Set";"2019/Nov";"2020/Mar";"Total"
"Região Norte";-;-;-;-;-;1;1;2;-;1;5
".. Amazonas";-;-;-;-;-;-;1;1;-;-;2
".. Roraima";-;-;-;-;-;1;-;-;-;-;1
".. Pará";-;-;-;-;-;-;-;1;-;1;2
"Região Nordeste";-;-;1;-;1;-;-;-;1;-;3
".. Pernambuco";-;-;-;-;1;-;-;-;1;-;2
".. Bahia";-;-;1;-;-;-;-;-;-;-;1
"Região Sul";-;-;-;1;-;-;-;-;-;-;1
".. Rio Grande do Sul";-;-;-;1;-;-;-;-;-;-;1
"Região Centro-Oeste";1;2;-;-;-;-;-;-;-;-;3
".. Mato Grosso do Sul";1;2;-;-;-;-;-;-;-;-;3
"Total";1;2;1;1;1;1;1;2;1;1;12
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
