 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Febre amarela
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008/Mar";"2008/Abr";"2008/Mai";"2009/Abr";"2009/Mai";"2009/Set";"2009/Nov";"2010/Jul";"2012/Mar";"2012/Mai";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Ago";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Nov";"2018/Dez";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2020/Jan";"2020/Mai";"2021/Abr";"Total"
"13 Amazonas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23 Ceará";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"26 Pernambuco";-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"27 Alagoas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;35;34;6;2;2;2;-;24;36;17;4;4;2;-;-;-;-;1;-;-;-;1;-;-;170
"32 Espírito Santo";-;-;-;-;-;-;1;-;-;-;-;1;7;12;9;7;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;1;3;1;5;1;-;1;-;-;-;-;-;-;-;-;-;16
"35 São Paulo";-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;1;-;1;14;19;18;13;3;1;-;1;1;1;1;1;1;-;-;-;81
"41 Paraná";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3
"50 Mato Grosso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";1;1;2;1;4;1;1;1;1;1;36;35;14;16;11;10;1;28;53;41;23;22;7;1;1;1;2;2;1;1;2;1;1;1;325
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
